query	subject	pident	length	mismatch	gapopen	query_start	query_end	subject_start	subject_end	evalue	bitscore
ET_SAMEA6872342_contig1	A/SA-1	99.748	1191	3	0	798916	800106	1191	1	0	2183
ET_SAMEA6872343_contig1	Ba/Apache2	99.578	1185	5	0	963787	964971	1185	1	0	2161
ET_SAMEA6872344_contig1	Ba/Apache2	99.578	1185	5	0	729109	730293	1185	1	0	2161
ET_SAMEA6872345_contig1	A/SA-1	99.748	1191	3	0	963004	964194	1191	1	0	2183
ET_SAMEA6872346_contig1	A/SA-1	99.748	1191	3	0	247815	249005	1191	1	0	2183
ET_SAMEA6872347_contig1	A/SA-1	99.832	1191	2	0	940697	941887	1191	1	0	2189
ET_SAMEA6872348_contig1	A/SA-1	99.832	1191	2	0	729303	730493	1191	1	0	2189
ET_SAMEA6872349_contig1	A/SA-1	99.832	1191	2	0	838919	840109	1191	1	0	2189
ET_SAMEA6872350_contig1	A/SA-1	99.748	1191	3	0	583518	584708	1191	1	0	2183
ET_SAMEA6872351_contig1	A/SA-1	99.748	1191	3	0	729315	730505	1191	1	0	2183
ET_SAMEA6872352_contig1	A/SA-1	99.748	1191	3	0	727715	728905	1191	1	0	2183
ET_SAMEA6872353_contig1	Ba/Apache2	99.578	1185	5	0	963836	965020	1185	1	0	2161
ET_SAMEA6872354_contig1	A/SA-1	99.832	1191	2	0	783866	785056	1191	1	0	2189
ET_SAMEA6872355_contig1	Ba/Apache2	99.578	1185	5	0	963866	965050	1185	1	0	2161
ET_SAMEA6872356_contig1	Ba/Apache2	99.578	1185	5	0	783802	784986	1185	1	0	2161
ET_SAMEA6872357_contig1	Ba/Apache2	99.578	1185	5	0	941949	943133	1185	1	0	2161
ET_SAMEA6872358_contig1	Ba/Apache2	99.578	1185	5	0	729409	730593	1185	1	0	2161
ET_SAMEA6872359_contig1	A/SA-1	99.748	1191	3	0	728218	729408	1191	1	0	2183
ET_SAMEA6872360_contig1	A/SA-1	99.748	1191	3	0	487654	488844	1191	1	0	2183
ET_SAMEA8792223_contig1	A/SA-1	99.832	1191	2	0	791783	792973	1191	1	0	2189
ET_SAMEA8792224_contig1	A/SA-1	99.832	1191	2	0	791637	792827	1191	1	0	2189
ET_SAMEA8792225_contig1	Ba/Apache2	99.662	1185	4	0	792753	793937	1185	1	0	2167
ET_SAMEA8792227_contig1	Ba/Apache2	99.662	1185	4	0	792901	794085	1185	1	0	2167
ET_SAMEA8792228_contig1	Ba/Apache2	99.662	1185	4	0	792815	793999	1185	1	0	2167
ET_SAMEA8792230_contig1	A/SA-1	99.832	1191	2	0	791664	792854	1191	1	0	2189
ET_SAMEA8792232_contig1	A/SA-1	99.832	1191	2	0	791808	792998	1191	1	0	2189
ET_SAMEA8792233_contig1	A/SA-1	99.832	1191	2	0	791241	792431	1191	1	0	2189
ET_SAMEA8792240_contig1	A/SA-1	99.832	1191	2	0	791814	793004	1191	1	0	2189
ET_SAMEA8792241_contig1	A/SA-1	99.832	1191	2	0	791946	793136	1191	1	0	2189
ET_SAMEA8792243_contig1	Ba/Apache2	99.662	1185	4	0	793043	794227	1185	1	0	2167
ET_SAMEA8792247_contig1	A/SA-1	99.832	1191	2	0	791488	792678	1191	1	0	2189
ET_SAMEA8792249_contig1	Ba/Apache2	99.662	1185	4	0	792832	794016	1185	1	0	2167
ET_SAMEA8792250_contig1	A/SA-1	99.832	1191	2	0	791844	793034	1191	1	0	2189
ET_SAMEA8792252_contig1	Ba/Apache2	99.662	1185	4	0	784504	785688	1185	1	0	2167
ET_SAMEA8792254_contig1	Ba/Apache2	99.662	1185	4	0	793151	794335	1185	1	0	2167
ET_SAMEA8792257_contig1	Ba/Apache2	99.662	1185	4	0	792543	793727	1185	1	0	2167
ET_SAMEA8792258_contig1	Ba/Apache2	99.662	1185	4	0	792541	793725	1185	1	0	2167
ET_SAMEA8792259_contig1	Ba/Apache2	99.662	1185	4	0	792858	794042	1185	1	0	2167
ET_SAMEA8792265_contig1	A/SA-1	99.832	1191	2	0	791302	792492	1191	1	0	2189
ET_SAMEA8792274_contig1	Ba/Apache2	99.662	1185	4	0	806451	807635	1185	1	0	2167
FN_SAMEA1903244_contig1	Ba/Apache2	98.903	1185	13	0	727956	729140	1185	1	0	2117
GA_SAMEA114595291_contig1	Ba/Apache2	99.409	1185	7	0	828687	829871	1185	1	0	2150
GA_SAMEA114595292_contig1	Ba/Apache2	99.325	1185	8	0	411968	413152	1185	1	0	2145
GA_SAMEA114595293_contig1	Ba/Apache2	99.409	1185	7	0	579271	580455	1185	1	0	2150
GA_SAMEA114595294_contig1	Ba/Apache2	99.325	1185	8	0	411966	413150	1185	1	0	2145
GA_SAMEA114595295_contig1	Ba/Apache2	99.409	1185	7	0	412106	413290	1185	1	0	2150
GA_SAMEA114595296_contig1	Ba/Apache2	99.409	1185	7	0	726867	728051	1185	1	0	2150
GA_SAMEA114595297_contig1	Ba/Apache2	99.409	1185	7	0	411969	413153	1185	1	0	2150
GA_SAMEA114595298_contig1	Ba/Apache2	99.409	1185	7	0	941783	942967	1185	1	0	2150
GA_SAMEA114595299_contig1	Ba/Apache2	99.409	1185	7	0	411966	413150	1185	1	0	2150
GA_SAMEA114595300_contig1	Ba/Apache2	99.409	1185	7	0	412092	413276	1185	1	0	2150
GA_SAMEA114595301_contig1	Ba/Apache2	99.409	1185	7	0	941782	942966	1185	1	0	2150
GA_SAMEA114595302_contig1	Ba/Apache2	99.409	1185	7	0	527525	528709	1185	1	0	2150
GA_SAMEA114595303_contig1	Ba/Apache2	99.325	1185	8	0	838571	839755	1185	1	0	2145
GA_SAMEA114595304_contig1	Ba/Apache2	99.409	1185	7	0	964013	965197	1185	1	0	2150
GA_SAMEA114595305_contig1	Ba/Apache2	99.409	1185	7	0	411970	413154	1185	1	0	2150
GA_SAMEA114595306_contig1	A/SA-1	99.496	1191	6	0	729356	730546	1191	1	0	2167
GA_SAMEA114595307_contig1	A/SA-1	99.664	1191	4	0	487396	488586	1191	1	0	2178
GA_SAMEA114595308_contig1	A/SA-1	99.664	1191	4	0	206625	207815	1191	1	0	2178
GA_SAMEA114595309_contig1	A/SA-1	99.664	1191	4	0	823929	825119	1191	1	0	2178
GA_SAMEA114595310_contig1	A/SA-1	99.664	1191	4	0	713066	714256	1191	1	0	2178
GA_SAMEA114595311_contig1	A/SA-1	99.664	1191	4	0	985576	986766	1191	1	0	2178
GA_SAMEA114595312_contig1	A/SA-1	99.664	1191	4	0	782259	783449	1191	1	0	2178
GA_SAMEA114595313_contig1	A/SA-1	99.664	1191	4	0	321928	323118	1191	1	0	2178
GA_SAMEA114595314_contig1	Ba/Apache2	99.494	1185	6	0	942350	943534	1185	1	0	2156
GA_SAMEA114595315_contig1	Ba/Apache2	99.494	1185	6	0	729611	730795	1185	1	0	2156
GA_SAMEA114595316_contig1	Ba/Apache2	99.494	1185	6	0	729345	730529	1185	1	0	2156
GA_SAMEA114595317_contig1	A/SA-1	99.664	1191	4	0	487724	488914	1191	1	0	2178
GA_SAMEA114595319_contig1	Ba/Apache2	99.494	1185	6	0	964006	965190	1185	1	0	2156
GA_SAMEA114595320_contig1	Ba/Apache2	99.494	1185	6	0	579351	580535	1185	1	0	2156
GA_SAMEA114595321_contig1	A/SA-1	99.633	1091	4	0	822867	823957	1191	101	0	1993
GA_SAMEA114595321_contig1	A/SA-1	100	185	0	0	824058	824242	185	1	1.78E-93	342
GA_SAMEA114595321_contig5	Ba/Apache2	99.447	1085	6	0	1	1085	101	1185	0	1971
GA_SAMEA114595322_contig1	Ba/Apache2	99.494	1185	6	0	729513	730697	1185	1	0	2156
GA_SAMEA114595323_contig1	Ba/Apache2	99.494	1185	6	0	411938	413122	1185	1	0	2156
GA_SAMEA114595324_contig1	Ba/Apache2	99.494	1185	6	0	247894	249078	1185	1	0	2156
GA_SAMEA114595325_contig1	Ba/Apache2	99.494	1185	6	0	729517	730701	1185	1	0	2156
GA_SAMEA114595326_contig1	Ba/Apache2	99.494	1185	6	0	412303	413487	1185	1	0	2156
GA_SAMEA114595327_contig1	Ba/Apache2	99.494	1185	6	0	729454	730638	1185	1	0	2156
GA_SAMEA114595328_contig1	A/SA-1	99.664	1191	4	0	206608	207798	1191	1	0	2178
GA_SAMEA114595329_contig1	A/SA-1	99.664	1191	4	0	487490	488680	1191	1	0	2178
GA_SAMEA114595330_contig1	Ba/Apache2	99.494	1185	6	0	729338	730522	1185	1	0	2156
GA_SAMEA1398403_contig1	A/SA-1	99.412	1191	7	0	728935	730125	1191	1	0	2161
GA_SAMEA1527878_contig1	A/SA-1	99.664	1191	4	0	247666	248856	1191	1	0	2178
GA_SAMEA1527918_contig1	Ba/Apache2	99.494	1185	6	0	728942	730126	1185	1	0	2156
GA_SAMEA1559267_contig1	Ba/Apache2	99.494	1185	6	0	729153	730337	1185	1	0	2156
GB_SAMEA3859873_contig1	A/SA-1	99.664	1191	4	0	771508	772698	1191	1	0	2178
GB_SAMEA3859875_contig1	A/SA-1	99.748	1191	3	0	793116	794306	1191	1	0	2183
GB_SAMEA3859876_contig1	A/SA-1	99.748	1191	3	0	793027	794217	1191	1	0	2183
GB_SAMEA3859877_contig1	Ba/Apache2	99.494	1185	6	0	792863	794047	1185	1	0	2156
GB_SAMEA3859878_contig1	A/SA-1	99.664	1191	4	0	785678	786868	1191	1	0	2178
GB_SAMEA3859880_contig1	A/SA-1	99.748	1191	3	0	793014	794204	1191	1	0	2183
GB_SAMEA3859881_contig1	A/SA-1	99.748	1191	3	0	792847	794037	1191	1	0	2183
GB_SAMEA3859884_contig1	A/SA-1	99.664	1191	4	0	778737	779927	1191	1	0	2178
GB_SAMEA3859885_contig1	Ba/Apache2	99.409	1185	7	0	793020	794204	1185	1	0	2150
GB_SAMEA3859886_contig1	A/SA-1	99.748	1191	3	0	792942	794132	1191	1	0	2183
GB_SAMEA3859887_contig1	A/SA-1	99.748	1191	3	0	792714	793904	1191	1	0	2183
GB_SAMEA3859888_contig1	A/SA-1	99.748	1191	3	0	792436	793626	1191	1	0	2183
GB_SAMEA3859889_contig1	A/SA-1	99.748	1191	3	0	792278	793468	1191	1	0	2183
GB_SAMEA3859894_contig1	A/SA-1	99.748	1191	3	0	792707	793897	1191	1	0	2183
GB_SAMEA3859895_contig1	A/SA-1	99.748	1191	3	0	785580	786770	1191	1	0	2183
GB_SAMEA3859896_contig1	Ba/Apache2	99.494	1185	6	0	792963	794147	1185	1	0	2156
GB_SAMEA3859897_contig1	A/SA-1	99.664	1191	4	0	793115	794305	1191	1	0	2178
GB_SAMEA3859897_contig4	A/SA-1	100	111	0	0	1	111	349	239	2.17E-56	206
GB_SAMEA3859899_contig1	A/SA-1	99.664	1191	4	0	784520	785710	1191	1	0	2178
GB_SAMEA3859900_contig1	A/SA-1	99.748	1191	3	0	792710	793900	1191	1	0	2183
GB_SAMEA3859904_contig1	A/SA-1	99.748	1191	3	0	792699	793889	1191	1	0	2183
GB_SAMEA3859905_contig1	A/SA-1	99.664	1191	4	0	761023	762213	1191	1	0	2178
GB_SAMEA3859909_contig1	Ba/Apache2	99.494	1185	6	0	784736	785920	1185	1	0	2156
GB_SAMEA3859915_contig1	A/SA-1	99.748	1191	3	0	785207	786397	1191	1	0	2183
GB_SAMEA3859922_contig1	A/SA-1	99.664	1191	4	0	786298	787488	1191	1	0	2178
GB_SAMEA3859927_contig1	A/SA-1	99.748	1191	3	0	792667	793857	1191	1	0	2183
GB_SAMEA3859928_contig1	Ba/Apache2	99.325	1185	8	0	784524	785708	1185	1	0	2145
GB_SAMEA3859931_contig1	A/SA-1	99.748	1191	3	0	784846	786036	1191	1	0	2183
GB_SAMEA3859933_contig1	A/SA-1	99.748	1191	3	0	786038	787228	1191	1	0	2183
GB_SAMEA3859936_contig1	A/SA-1	99.664	1191	4	0	769450	770640	1191	1	0	2178
GB_SAMEA3859942_contig1	Ba/Apache2	99.494	1185	6	0	781811	782995	1185	1	0	2156
GB_SAMEA3859943_contig1	A/SA-1	99.664	1191	4	0	715263	716453	1191	1	0	2178
GB_SAMEA3859944_contig1	Ba/Apache2	99.494	1185	6	0	247711	248895	1185	1	0	2156
GB_SAMEA3859945_contig1	A/SA-1	99.748	1191	3	0	248049	249239	1191	1	0	2183
GB_SAMEA3859946_contig1	A/SA-1	99.664	1191	4	0	247693	248883	1191	1	0	2178
GB_SAMEA3859946_contig3	Ba/Apache2	99.433	1059	6	0	1	1059	119	1177	0	1923
GB_SAMEA3859947_contig1	A/SA-1	99.748	1191	3	0	247693	248883	1191	1	0	2183
GB_SAMEA3859948_contig1	A/SA-1	99.748	1191	3	0	601344	602534	1191	1	0	2183
GB_SAMEA3859949_contig1	A/SA-1	99.748	1191	3	0	247716	248906	1191	1	0	2183
GB_SAMEA3859950_contig1	Ba/Apache2	99.494	1185	6	0	247655	248839	1185	1	0	2156
KI_SAMEA5996367_contig1	C/TW3/OT	99.749	1194	3	0	792911	794104	1194	1	0	2189
KI_SAMEA5996368_contig1	C/TW3/OT	99.749	1194	3	0	793138	794331	1194	1	0	2189
KI_SAMEA5996369_contig1	C/TW3/OT	99.749	1194	3	0	792706	793899	1194	1	0	2189
KI_SAMEA5996370_contig1	C/TW3/OT	99.665	1194	4	0	792916	794109	1194	1	0	2183
KI_SAMEA5996371_contig1	C/TW3/OT	99.749	1194	3	0	792596	793789	1194	1	0	2189
KI_SAMEA5996372_contig1	C/TW3/OT	99.749	1194	3	0	792810	794003	1194	1	0	2189
KI_SAMEA5996373_contig1	C/TW3/OT	99.749	1194	3	0	793011	794204	1194	1	0	2189
KI_SAMEA5996374_contig1	C/TW3/OT	99.749	1194	3	0	792931	794124	1194	1	0	2189
KI_SAMEA5996376_contig1	C/TW3/OT	99.749	1194	3	0	792971	794164	1194	1	0	2189
KI_SAMEA5996378_contig1	C/TW3/OT	99.749	1194	3	0	792903	794096	1194	1	0	2189
